id,Time,LOAD,ELONGATION,TIME,EXTENSION,,Stress(N/m2),Strain,,Max Stress,38088415
1, 2025-09-04 13:34:18,0.01,0,0,0,,5450,0,,,
2, 2025-09-04 13:34:18,0.01,0,0.1,0,,5450,0,,,
3, 2025-09-04 13:34:19,0.01,0,0.2,0,,5450,0,,,
4, 2025-09-04 13:34:19,0.01,0,0.3,0,,5450,0,,,
5, 2025-09-04 13:34:19,0.17,0,0.5,0,,92650,0,,,
6, 2025-09-04 13:34:19,1.281,0,0.7,0,,698145,0,,,
7, 2025-09-04 13:34:19,2.542,0,0.9,0,,1385390,0,,,
8, 2025-09-04 13:34:20,3.873,0,1.2,0,,2110785,0,,,
9, 2025-09-04 13:34:20,5.204,0,1.4,0,,2836180,0,,,
10, 2025-09-04 13:34:20,5.875,0,1.5,0,,3201875,0,,,
11, 2025-09-04 13:34:20,6.545,0,1.6,0,,3567025,0,,,
12, 2025-09-04 13:34:20,6.545,0,1.7,0,,3567025,0,,,
13, 2025-09-04 13:34:20,7.216,0,1.7,0,,3932720,0,,,
14, 2025-09-04 13:34:20,8.537,0,1.8,0,,4652665,0,,,
15, 2025-09-04 13:34:20,9.848,0,2.1,0,,5367160,0,,,
16, 2025-09-04 13:34:21,11.149,0,2.3,0,,6076205,0,,,
17, 2025-09-04 13:34:21,11.79,0,2.4,0,,6425550,0,,,
18, 2025-09-04 13:34:21,12.42,0,2.5,0,,6768900,0,,,
19, 2025-09-04 13:34:21,13.041,0,2.6,0,,7107345,0,,,
20, 2025-09-04 13:34:21,13.661,0,2.7,0.0265,,7445245,0.000736111,,,
21, 2025-09-04 13:34:21,14.272,0,2.8,0.0265,,7778240,0.000736111,,,
22, 2025-09-04 13:34:21,14.272,0,2.9,0.0374,,7778240,0.001038889,,,
23, 2025-09-04 13:34:21,15.493,0,3,0.0374,,8443685,0.001038889,,,
24, 2025-09-04 13:34:21,16.103,0,3,0.0374,,8776135,0.001038889,,,
25, 2025-09-04 13:34:22,17.334,0,3.3,0.0374,,9447030,0.001038889,,,
26, 2025-09-04 13:34:22,18.555,0,3.5,0.0374,,10112475,0.001038889,,,
27, 2025-09-04 13:34:22,19.756,0,3.7,0.0374,,10767020,0.001038889,,,
28, 2025-09-04 13:34:22,20.947,0,3.9,0.0374,,11416115,0.001038889,,,
29, 2025-09-04 13:34:22,22.098,0,4.1,0.0499,,12043410,0.001386111,,,
30, 2025-09-04 13:34:23,23.219,0,4.3,0.0499,,12654355,0.001386111,,,
31, 2025-09-04 13:34:23,24.31,0,4.5,0.0795,,13248950,0.002208333,,,
32, 2025-09-04 13:34:23,24.73,0,4.7,0.0795,,13477850,0.002208333,,,
33, 2025-09-04 13:34:23,24.04,0,4.9,0.0888,,13101800,0.002466667,,,
34, 2025-09-04 13:34:23,23.769,0,5.1,0.0888,,12954105,0.002466667,,,
35, 2025-09-04 13:34:24,24.04,0,5.4,0.0888,,13101800,0.002466667,,,
36, 2025-09-04 13:34:24,24.79,0,5.5,0.0888,,13510550,0.002466667,,,
37, 2025-09-04 13:34:24,25.701,0,5.7,0.0982,,14007045,0.002727778,,,
38, 2025-09-04 13:34:24,25.991,0,6,0.0982,,14165095,0.002727778,,,
39, 2025-09-04 13:34:24,26.281,0,6.1,0.0982,,14323145,0.002727778,,,
40, 2025-09-04 13:34:24,26.572,0,6.1,0.0982,,14481740,0.002727778,,,
41, 2025-09-04 13:34:25,26.862,0,6.2,0.1013,,14639790,0.002813889,,,
42, 2025-09-04 13:34:25,27.472,0,6.4,0.1013,,14972240,0.002813889,,,
43, 2025-09-04 13:34:25,28.093,0,6.6,0.1013,,15310685,0.002813889,,,
44, 2025-09-04 13:34:25,29.084,0,6.8,0.1013,,15850780,0.002813889,,,
45, 2025-09-04 13:34:25,29.794,0,7,0.1013,,16237730,0.002813889,,,
46, 2025-09-04 13:34:26,30.525,0,7.3,0.106,,16636125,0.002944444,,,
47, 2025-09-04 13:34:26,30.895,0,7.4,0.106,,16837775,0.002944444,,,
48, 2025-09-04 13:34:26,30.895,0,7.5,0.1262,,16837775,0.003505556,,,
49, 2025-09-04 13:34:26,31.266,0,7.5,0.1262,,17039970,0.003505556,,,
50, 2025-09-04 13:34:26,32.406,0,7.8,0.1262,,17661270,0.003505556,,,
51, 2025-09-04 13:34:26,33.187,0,8,0.134,,18086915,0.003722222,,,
52, 2025-09-04 13:34:26,33.587,0,8.1,0.134,,18304915,0.003722222,,,
53, 2025-09-04 13:34:27,33.988,0,8.2,0.134,,18523460,0.003722222,,,
54, 2025-09-04 13:34:27,34.388,0,8.3,0.134,,18741460,0.003722222,,,
55, 2025-09-04 13:34:27,34.788,0,8.4,0.134,,18959460,0.003722222,,,
56, 2025-09-04 13:34:27,34.788,0,8.5,0.134,,18959460,0.003722222,,,
57, 2025-09-04 13:34:27,35.189,0,8.6,0.134,,19178005,0.003722222,,,
58, 2025-09-04 13:34:27,35.589,0,8.6,0.1403,,19396005,0.003897222,,,
59, 2025-09-04 13:34:27,36.38,0,8.7,0.1403,,19827100,0.003897222,,,
60, 2025-09-04 13:34:27,37.17,0,9,0.1621,,20257650,0.004502778,,,
61, 2025-09-04 13:34:28,37.961,0,9.2,0.1621,,20688745,0.004502778,,,
62, 2025-09-04 13:34:28,38.351,0,9.3,0.1621,,20901295,0.004502778,,,
63, 2025-09-04 13:34:28,38.742,0,9.4,0.1714,,21114390,0.004761111,,,
64, 2025-09-04 13:34:28,39.132,0,9.5,0.1714,,21326940,0.004761111,,,
65, 2025-09-04 13:34:28,39.522,0,9.6,0.1714,,21539490,0.004761111,,,
66, 2025-09-04 13:34:28,39.923,0,9.7,0.1714,,21758035,0.004761111,,,
67, 2025-09-04 13:34:28,40.313,0,9.8,0.1714,,21970585,0.004761111,,,
68, 2025-09-04 13:34:28,40.313,0,9.9,0.1714,,21970585,0.004761111,,,
69, 2025-09-04 13:34:28,41.114,0,10,0.1714,,22407130,0.004761111,,,
70, 2025-09-04 13:34:28,41.504,0,10.1,0.1714,,22619680,0.004761111,,,
71, 2025-09-04 13:34:29,41.904,0,10.1,0.1714,,22837680,0.004761111,,,
72, 2025-09-04 13:34:29,42.685,0,10.4,0.1714,,23263325,0.004761111,,,
73, 2025-09-04 13:34:29,43.486,0,10.6,0.1745,,23699870,0.004847222,,,
74, 2025-09-04 13:34:29,44.306,0,10.8,0.1745,,24146770,0.004847222,,,
75, 2025-09-04 13:34:29,45.107,0,11,0.201,,24583315,0.005583333,,,
76, 2025-09-04 13:34:30,45.897,0,11.3,0.2088,,25013865,0.0058,,,
77, 2025-09-04 13:34:30,46.288,0,11.3,0.2088,,25226960,0.0058,,,
78, 2025-09-04 13:34:30,47.078,0,11.5,0.2088,,25657510,0.0058,,,
79, 2025-09-04 13:34:30,48.249,0,11.7,0.2088,,26295705,0.0058,,,
80, 2025-09-04 13:34:30,48.65,0,12,0.2088,,26514250,0.0058,,,
81, 2025-09-04 13:34:30,49.04,0,12,0.2182,,26726800,0.006061111,,,
82, 2025-09-04 13:34:30,49.45,0,12.1,0.2182,,26950250,0.006061111,,,
83, 2025-09-04 13:34:31,50.271,0,12.3,0.2415,,27397695,0.006708333,,,
84, 2025-09-04 13:34:31,51.112,0,12.5,0.2415,,27856040,0.006708333,,,
85, 2025-09-04 13:34:31,52.473,0,12.7,0.2509,,28597785,0.006969444,,,
86, 2025-09-04 13:34:31,53.474,0,13,0.2509,,29143330,0.006969444,,,
87, 2025-09-04 13:34:32,54.464,0,13.2,0.2509,,29682880,0.006969444,,,
88, 2025-09-04 13:34:32,55.435,0,13.4,0.2509,,30212075,0.006969444,,,
89, 2025-09-04 13:34:32,56.396,0,13.6,0.2618,,30735820,0.007272222,,,
90, 2025-09-04 13:34:32,56.886,0,13.7,0.2618,,31002870,0.007272222,,,
91, 2025-09-04 13:34:32,57.367,0,13.8,0.2618,,31265015,0.007272222,,,
92, 2025-09-04 13:34:32,57.367,0,13.8,0.293,,31265015,0.008138889,,,
93, 2025-09-04 13:34:32,58.318,0,14,0.293,,31783310,0.008138889,,,
94, 2025-09-04 13:34:33,59.709,0,14.2,0.3039,,32541405,0.008441667,,,
95, 2025-09-04 13:34:33,60.63,0,14.5,0.3039,,33043350,0.008441667,,,
96, 2025-09-04 13:34:33,61.55,0,14.7,0.3039,,33544750,0.008441667,,,
97, 2025-09-04 13:34:33,62.461,0,14.9,0.3039,,34041245,0.008441667,,,
98, 2025-09-04 13:34:33,62.911,0,15,0.3039,,34286495,0.008441667,,,
99, 2025-09-04 13:34:33,62.911,0,15.1,0.3163,,34286495,0.008786111,,,
100, 2025-09-04 13:34:34,63.362,0,15.2,0.3163,,34532290,0.008786111,,,
