id,Time,LOAD,ELONGATION,TIME,EXTENSION,,Stress(N/m2),Strain,,Max Stress,31957710
1, 2025-09-04 13:30:43,0,0,0.1,0,,0,0,,,
2, 2025-09-04 13:30:43,0,0,0.3,0,,0,0,,,
3, 2025-09-04 13:30:43,0.22,0,0.4,0,,119900,0,,,
4, 2025-09-04 13:30:43,0.981,0,0.6,0,,534645,0,,,
5, 2025-09-04 13:30:43,2.262,0,0.9,0,,1232790,0,,,
6, 2025-09-04 13:30:44,3.733,0,1.1,0,,2034485,0,,,
7, 2025-09-04 13:30:44,3.733,0,1.2,0.0047,,2034485,0.000130556,,,
8, 2025-09-04 13:30:44,5.184,0,1.3,0.0047,,2825280,0.000130556,,,
9, 2025-09-04 13:30:44,5.895,0,1.3,0.0047,,3212775,0.000130556,,,
10, 2025-09-04 13:30:44,7.296,0,1.5,0.0047,,3976320,0.000130556,,,
11, 2025-09-04 13:30:44,8.677,0,1.8,0.0047,,4728965,0.000130556,,,
12, 2025-09-04 13:30:45,10.689,0,2,0.0047,,5825505,0.000130556,,,
13, 2025-09-04 13:30:45,11.349,0,2.1,0.0047,,6185205,0.000130556,,,
14, 2025-09-04 13:30:45,11.349,0,2.2,0.014,,6185205,0.000388889,,,
15, 2025-09-04 13:30:45,12,0,2.2,0.014,,6540000,0.000388889,,,
16, 2025-09-04 13:30:45,13.911,0,2.5,0.0468,,7581495,0.0013,,,
17, 2025-09-04 13:30:45,14.542,0,2.6,0.0468,,7925390,0.0013,,,
18, 2025-09-04 13:30:45,14.542,0,2.7,0.0577,,7925390,0.001602778,,,
19, 2025-09-04 13:30:45,15.172,0,2.7,0.0577,,8268740,0.001602778,,,
20, 2025-09-04 13:30:45,15.813,0,2.9,0.0577,,8618085,0.001602778,,,
21, 2025-09-04 13:30:46,17.724,0,3.1,0.0577,,9659580,0.001602778,,,
22, 2025-09-04 13:30:46,18.986,0,3.3,0.0577,,10347370,0.001602778,,,
23, 2025-09-04 13:30:46,20.217,0,3.5,0.0577,,11018265,0.001602778,,,
24, 2025-09-04 13:30:46,20.807,0,3.7,0.0701,,11339815,0.001947222,,,
25, 2025-09-04 13:30:46,22.378,0,3.9,0.1044,,12196010,0.0029,,,
26, 2025-09-04 13:30:47,23.209,0,4.1,0.1044,,12648905,0.0029,,,
27, 2025-09-04 13:30:47,23.94,0,4.3,0.1075,,13047300,0.002986111,,,
28, 2025-09-04 13:30:47,24.65,0,4.6,0.1075,,13434250,0.002986111,,,
29, 2025-09-04 13:30:47,25.341,0,4.8,0.1075,,13810845,0.002986111,,,
30, 2025-09-04 13:30:47,26.011,0,4.9,0.1075,,14175995,0.002986111,,,
31, 2025-09-04 13:30:48,26.011,0,5,0.1075,,14175995,0.002986111,,,
32, 2025-09-04 13:30:48,26.342,0,5.1,0.1075,,14356390,0.002986111,,,
33, 2025-09-04 13:30:48,26.672,0,5.1,0.1075,,14536240,0.002986111,,,
34, 2025-09-04 13:30:48,26.992,0,5.2,0.1075,,14710640,0.002986111,,,
35, 2025-09-04 13:30:48,27.653,0,5.4,0.1169,,15070885,0.003247222,,,
36, 2025-09-04 13:30:48,28.333,0,5.7,0.1169,,15441485,0.003247222,,,
37, 2025-09-04 13:30:48,29.034,0,5.8,0.1169,,15823530,0.003247222,,,
38, 2025-09-04 13:30:48,29.384,0,5.9,0.1403,,16014280,0.003897222,,,
39, 2025-09-04 13:30:49,29.734,0,6,0.1403,,16205030,0.003897222,,,
40, 2025-09-04 13:30:49,29.734,0,6.1,0.1418,,16205030,0.003938889,,,
41, 2025-09-04 13:30:49,30.085,0,6.2,0.1418,,16396325,0.003938889,,,
42, 2025-09-04 13:30:49,30.435,0,6.2,0.1418,,16587075,0.003938889,,,
43, 2025-09-04 13:30:49,30.795,0,6.3,0.1418,,16783275,0.003938889,,,
44, 2025-09-04 13:30:49,31.155,0,6.5,0.1418,,16979475,0.003938889,,,
45, 2025-09-04 13:30:49,31.896,0,6.7,0.1418,,17383320,0.003938889,,,
46, 2025-09-04 13:30:49,32.647,0,6.8,0.1418,,17792615,0.003938889,,,
47, 2025-09-04 13:30:50,33.387,0,7,0.1418,,18195915,0.003938889,,,
48, 2025-09-04 13:30:50,34.138,0,7.2,0.1512,,18605210,0.0042,,,
49, 2025-09-04 13:30:50,34.518,0,7.3,0.173,,18812310,0.004805556,,,
50, 2025-09-04 13:30:50,34.899,0,7.5,0.173,,19019955,0.004805556,,,
51, 2025-09-04 13:30:50,35.679,0,7.7,0.1792,,19445055,0.004977778,,,
52, 2025-09-04 13:30:50,36.059,0,7.8,0.1792,,19652155,0.004977778,,,
53, 2025-09-04 13:30:51,37.23,0,8,0.1792,,20290350,0.004977778,,,
54, 2025-09-04 13:30:51,38.021,0,8.2,0.1792,,20721445,0.004977778,,,
55, 2025-09-04 13:30:51,38.822,0,8.4,0.1792,,21157990,0.004977778,,,
56, 2025-09-04 13:30:51,39.602,0,8.6,0.187,,21583090,0.005194444,,,
57, 2025-09-04 13:30:51,40.403,0,8.8,0.187,,22019635,0.005194444,,,
58, 2025-09-04 13:30:52,41.204,0,9,0.2104,,22456180,0.005844444,,,
